provider_number,inpatient_claims,average_claim_payment,total_medicare_payment,average_length_of_stay
0300CC,172,9943.02,1710200.00,5.88
0700QA,184,9238.32,1699850.00,6.23
2501QH,180,9397.22,1691500.00,6.10
2200MM,171,9869.01,1687600.00,5.65
1600GH,179,9378.49,1678750.00,5.66
36008A,180,9182.22,1652800.00,6.29
1800TK,167,9784.43,1634000.00,5.60
3300JQ,156,10421.15,1625700.00,5.21
4502NS,145,11176.55,1620600.00,5.97
0502VR,177,9142.94,1618300.00,5.03
3301KT,153,10496.73,1606000.00,6.22
4506UA,150,10542.67,1581400.00,5.89
5201TA,171,9240.94,1580200.00,5.77
14018H,173,9115.03,1576900.00,5.74
0600GH,158,9972.15,1575600.00,6.35
3301BB,171,9147.84,1564280.00,6.32
3600CS,171,9127.49,1560800.00,6.08
1002YC,155,10040.65,1556300.00,6.08
0300GU,136,11427.21,1554100.00,5.30
1800SA,152,10009.21,1521400.00,5.20
3600TU,158,9517.09,1503700.00,6.21
2600QH,162,9192.59,1489200.00,5.66
3800ZR,156,9538.46,1488000.00,4.82
3901KR,151,9701.99,1465000.00,6.44
0500VS,160,9118.81,1459010.00,5.04
2200GD,168,8684.52,1459000.00,5.32
5130XG,136,10669.12,1451000.00,6.63
2300KS,159,9055.35,1439800.00,4.89
4900CN,137,10502.92,1438900.00,6.58
06018D,153,9318.69,1425760.00,4.82
1402CR,161,8819.88,1420000.00,5.00
4900GV,167,8492.81,1418300.00,4.83
3900NM,151,9312.45,1406180.00,5.85
0505YJ,142,9875.35,1402300.00,5.18
1001WM,131,10672.06,1398040.00,4.74
0502KN,144,9626.32,1386190.00,6.03
1800AD,151,9178.81,1386000.00,6.66
2302ZH,153,9045.29,1383930.00,5.20
1900PA,178,7736.52,1377100.00,5.16
2600PG,141,9761.70,1376400.00,5.83
3100PS,148,9290.54,1375000.00,5.41
4500PK,149,9174.50,1367000.00,4.87
3302ND,123,10886.99,1339100.00,5.59
1900AJ,138,9625.36,1328300.00,5.31
3700AC,136,9693.38,1318300.00,5.09
1000VV,132,9740.91,1285800.00,5.40
3100XU,130,9874.62,1283700.00,5.48
3600TD,116,10982.50,1273970.00,6.18
1300ZH,115,10991.30,1264000.00,6.27
3700JD,154,8162.34,1257000.00,5.19
0503NV,135,9307.41,1256500.00,5.51
10016B,138,9089.86,1254400.00,5.08
1000AQ,135,9155.56,1236000.00,4.76
10S0MP,122,10131.15,1236000.00,6.03
0501RV,136,9084.56,1235500.00,5.93
0800NT,132,9303.03,1228000.00,5.25
5001PC,126,9730.16,1226000.00,5.36
5000PS,129,9447.21,1218690.00,5.11
2100BM,124,9804.03,1215700.00,5.92
0504YJ,123,9773.98,1202200.00,6.13
3800BU,116,10279.31,1192400.00,4.97
4400XJ,121,9688.60,1172320.00,5.88
1900ZP,121,9580.17,1159200.00,5.26
1401YS,127,9107.95,1156710.00,6.06
3901PD,133,8636.84,1148700.00,5.19
4900CD,113,10123.89,1144000.00,5.02
5200GH,133,8569.17,1139700.00,4.79
10016R,113,10070.80,1138000.00,5.36
4500YG,103,10994.17,1132400.00,4.75
4400WA,101,11099.01,1121000.00,5.76
0900UA,109,10091.74,1100000.00,5.20
1000UU,119,9243.70,1100000.00,6.11
2200TM,100,10959.00,1095900.00,4.67
2301UP,110,9954.55,1095000.00,6.39
4500WC,132,8280.30,1093000.00,5.85
3601WR,127,8588.98,1090800.00,5.18
0101MC,118,9186.44,1084000.00,5.33
4200NV,101,10614.85,1072100.00,5.22
4200ZV,104,10307.69,1072000.00,6.50
33026U,118,8991.53,1061000.00,6.10
3303YT,97,10809.28,1048500.00,5.15
0300QR,116,8956.90,1039000.00,5.15
3200ZG,115,8974.78,1032100.00,5.43
5000KV,107,9645.79,1032100.00,5.00
2600GD,110,9200.00,1012000.00,5.33
4200QS,88,11375.00,1001000.00,6.38
0504VD,92,10832.61,996600.00,5.85
3101AB,103,9621.36,991000.00,6.98
3900GK,105,9433.33,990500.00,5.40
4507BT,112,8803.57,986000.00,6.20
14016U,105,9324.76,979100.00,5.45
2200MT,86,11381.40,978800.00,5.63
0600PR,79,12088.61,955000.00,6.25
39T2HB,88,10784.09,949000.00,5.59
3400RD,101,9392.08,948600.00,5.48
2200JA,110,8572.73,943000.00,6.24
01S1YV,99,9515.15,942000.00,5.93
2100RT,96,9718.75,933000.00,5.38
1100KJ,95,9752.63,926500.00,5.01
4300HR,96,9614.58,923000.00,5.22
3400BT,99,9262.63,917000.00,4.26
3902DM,82,11078.05,908400.00,5.59
2601MU,96,9281.25,891000.00,5.73
4900GQ,92,9660.87,888800.00,5.39
33038A,73,12131.51,885600.00,5.36
4503JQ,91,9615.38,875000.00,6.21
0501BG,98,8765.31,859000.00,4.85
4500BM,103,8310.68,856000.00,5.33
4200SD,95,9008.42,855800.00,5.05
33008G,86,9895.35,851000.00,5.37
1002QQ,81,10494.81,850080.00,5.31
31006K,73,11624.66,848600.00,5.38
3302UU,77,11000.00,847000.00,5.70
41006B,93,9043.01,841000.00,4.94
1100CJ,76,10955.26,832600.00,5.87
0100KT,97,8453.61,820000.00,4.84
1500KD,57,14315.79,816000.00,6.09
3602GC,81,10016.05,811300.00,5.65
0600RM,76,10644.74,809000.00,5.32
3302WQ,92,8782.61,808000.00,4.80
2300AH,83,9679.52,803400.00,4.89
2900UB,77,10403.90,801100.00,6.18
3600VH,76,10452.63,794400.00,6.51
5200WS,72,10972.22,790000.00,5.94
1500QK,80,9862.50,789000.00,5.69
4900ZV,84,9385.71,788400.00,5.55
3301QJ,90,8664.44,779800.00,4.47
0504BP,74,10513.51,778000.00,4.62
1102VS,85,9140.00,776900.00,6.09
0506GC,87,8911.49,775300.00,4.57
3900MB,82,9410.98,771700.00,5.44
0300QJ,77,9929.87,764600.00,4.86
4401TT,76,10055.26,764200.00,5.24
3300VG,89,8573.03,763000.00,5.06
3304NA,89,8544.94,760500.00,5.78
3400DH,80,9436.25,754900.00,4.85
3301WK,76,9881.58,751000.00,6.05
45086P,72,10293.06,741100.00,4.72
1000ZT,74,10009.46,740700.00,5.72
3100ZR,81,9000.00,729000.00,5.43
3100GR,56,12982.14,727000.00,6.38
2801QQ,62,11725.81,727000.00,6.69
01006V,80,9087.50,727000.00,5.01
2801NN,64,11343.75,726000.00,5.97
2500XJ,76,9489.47,721200.00,6.45
2201RB,63,11412.70,719000.00,6.43
45026C,82,8763.41,718600.00,5.15
2302XD,81,8808.64,713500.00,5.43
4508MT,71,10014.08,711000.00,3.82
2600BQ,76,9340.79,709900.00,5.75
39018P,62,11438.71,709200.00,6.19
2400KN,65,10892.31,708000.00,7.26
5200GV,70,10014.29,701000.00,5.40
3901ZS,76,9197.37,699000.00,5.46
1900JS,62,11241.94,697000.00,6.18
14026N,86,8097.67,696400.00,5.69
45T8NA,78,8871.79,692000.00,5.50
2400QS,72,9569.44,689000.00,5.08
3900UC,76,9065.79,689000.00,7.08
5200YU,80,8562.50,685000.00,5.09
67006C,58,11775.86,683000.00,5.57
2200JJ,70,9742.86,682000.00,6.20
3302MC,77,8844.16,681000.00,4.86
4300HB,66,10309.09,680400.00,5.70
1600MG,71,9549.30,678000.00,4.20
4200VR,83,8155.42,676900.00,5.24
3600VA,50,13360.00,668000.00,8.38
1402QV,77,8645.45,665700.00,4.23
3302QQ,74,8987.84,665100.00,5.43
3700ZA,80,8250.00,660000.00,4.81
1500NH,66,9984.85,659000.00,6.17
1600TP,49,13448.98,659000.00,7.20
2200PP,61,10786.89,658000.00,7.49
2200QQ,63,10428.57,657000.00,5.05
10S0NQ,52,12634.62,657000.00,6.90
1501UR,76,8636.84,656400.00,4.83
3930MD,71,9228.17,655200.00,5.82
1400DQ,70,9326.14,652830.00,4.43
0506TS,55,11818.18,650000.00,6.49
3300KR,76,8539.47,649000.00,6.38
5000GJ,63,10301.59,649000.00,4.95
3130BK,66,9803.03,647000.00,6.06
2100CN,68,9500.00,646000.00,5.43
44S1DD,73,8808.22,643000.00,6.10
3301MU,63,10126.98,638000.00,5.98
2301XS,83,7674.70,637000.00,4.31
1002AV,60,10496.67,629800.00,7.07
2200YC,67,9388.06,629000.00,4.61
0501GK,64,9693.75,620400.00,6.52
1101AT,57,10878.95,620100.00,7.16
3900HM,74,8378.38,620000.00,6.51
10S0SU,85,7282.35,619000.00,5.67
1000NG,64,9664.06,618500.00,5.41
10S0QS,66,9300.00,613800.00,5.68
4507VS,73,8356.16,610000.00,5.11
2601ST,54,11296.30,610000.00,7.35
0506MK,64,9484.38,607000.00,5.49
1601NC,67,9031.34,605100.00,5.04
1002QH,63,9507.94,599000.00,4.62
2100YG,83,7179.52,595900.00,4.77
1000YM,55,10763.64,592000.00,5.65
3800XV,44,13431.82,591000.00,7.57
1002SK,57,10333.33,589000.00,7.40
4500AS,69,8507.25,587000.00,6.80
2100YP,69,8491.30,585900.00,6.35
1500XT,81,7222.22,585000.00,4.79
2402QR,72,8083.33,582000.00,5.01
0503HQ,63,9238.10,582000.00,5.41
2800KS,55,10563.64,581000.00,6.07
0301BV,48,12018.75,576900.00,6.65
1002CR,56,10285.71,576000.00,6.54
4505QV,61,9426.23,575000.00,4.98
0400DH,52,11019.23,573000.00,4.37
1002AH,65,8769.23,570000.00,6.94
1500ZV,57,10000.00,570000.00,5.77
3800HC,58,9810.34,569000.00,6.34
0504ZK,53,10735.85,569000.00,7.36
4401VH,74,7662.16,567000.00,4.73
3400KP,55,10290.91,566000.00,6.31
5201CG,63,8936.51,563000.00,5.59
4901NS,54,10425.93,563000.00,4.92
1000GU,62,9016.13,559000.00,5.15
5201NR,62,8935.48,554000.00,5.35
2500PG,61,9042.62,551600.00,5.80
11S1PS,65,8450.77,549300.00,4.03
1701AJ,70,7840.00,548800.00,5.83
4200CT,61,8967.21,547000.00,7.21
3800YA,48,11335.42,544100.00,5.79
5200AB,55,9872.73,543000.00,5.89
4901RP,60,9023.33,541400.00,5.32
3000QM,55,9800.00,539000.00,5.38
27006D,60,8973.33,538400.00,3.73
2230XR,47,11425.53,537000.00,5.53
45006J,56,9517.86,533000.00,5.29
3601VQ,46,11586.96,533000.00,6.17
3302DC,60,8833.33,530000.00,4.25
2930BU,47,11191.49,526000.00,4.04
1100UT,48,10937.50,525000.00,6.04
5000KP,45,11606.67,522300.00,4.73
2900JU,61,8531.15,520400.00,6.41
1100WV,55,9447.27,519600.00,4.96
1730JK,62,8370.97,519000.00,5.58
5000VM,50,10380.00,519000.00,6.36
3100MA,46,11239.13,517000.00,6.04
2400VB,56,9196.43,515000.00,5.64
52006Q,53,9679.25,513000.00,4.89
1900KT,51,10039.22,512000.00,6.08
2500QH,56,9125.00,511000.00,5.29
2900RG,49,10387.76,509000.00,4.86
2201XK,47,10723.40,504000.00,5.94
0600CD,50,10080.00,504000.00,5.64
5001VM,57,8833.33,503500.00,5.26
1000DC,53,9490.57,503000.00,5.21
0700SS,62,8096.77,502000.00,6.89
19008R,48,10437.50,501000.00,5.50
1030RD,50,10020.00,501000.00,7.24
1901AC,59,8491.53,501000.00,6.81
1401RJ,55,9109.09,501000.00,5.93
44006N,54,9259.26,500000.00,7.19
1002JJ,50,9994.00,499700.00,5.16
15016R,50,9882.00,494100.00,5.40
1830CD,55,8972.73,493500.00,4.27
4900PJ,55,8963.64,493000.00,6.26
4506GH,46,10695.65,492000.00,6.20
2800BJ,56,8737.50,489300.00,5.36
3301RK,48,10187.50,489000.00,4.21
3900KJ,70,6942.86,486000.00,5.53
36006P,54,8992.59,485600.00,5.17
2200VV,52,9292.31,483200.00,5.40
3300CA,56,8555.36,479100.00,6.05
1101KH,39,12238.46,477300.00,5.90
1000MT,49,9734.69,477000.00,6.51
3100AM,49,9673.47,474000.00,7.82
4600QS,59,8016.95,473000.00,6.05
1501SP,34,13911.76,473000.00,6.65
3400VS,46,10260.87,472000.00,5.52
1200YJ,53,8886.79,471000.00,6.42
1100HN,43,10883.72,468000.00,5.60
0700WA,45,10400.00,468000.00,4.52
2700NT,46,10130.43,466000.00,4.63
2930AT,55,8472.73,466000.00,5.42
1601MB,46,10080.43,463700.00,4.93
1100UD,51,9078.43,463000.00,5.24
1402GT,38,12084.21,459200.00,5.87
45T1MP,45,10200.00,459000.00,7.69
1002DM,53,8660.38,459000.00,4.79
4506CN,53,8641.51,458000.00,5.36
2800JR,49,9326.53,457000.00,5.88
0101AV,53,8603.77,456000.00,4.58
36018A,47,9659.57,454000.00,5.98
1001HR,46,9863.04,453700.00,6.46
22006G,42,10761.90,452000.00,4.79
2600VP,48,9375.00,450000.00,5.46
2700BH,49,9183.67,450000.00,5.45
4600YU,41,10939.02,448500.00,6.95
1101DA,33,13517.27,446070.00,7.45
39008N,40,11150.00,446000.00,6.15
3600YT,39,11410.26,445000.00,5.18
0100PQ,49,9073.47,444600.00,4.14
10028V,43,10302.33,443000.00,5.24
25S1YD,54,8188.89,442200.00,5.56
1001KG,41,10731.71,440000.00,4.10
3300AG,44,9931.82,437000.00,5.50
0600BC,44,9909.09,436000.00,4.50
45076B,48,9050.00,434400.00,4.48
2400YG,49,8830.61,432700.00,5.90
3300XQ,35,12314.29,431000.00,5.51
1002ND,30,14366.67,431000.00,9.17
0100MD,49,8795.92,431000.00,5.73
4200HJ,40,10722.50,428900.00,4.58
5130WD,41,10390.24,426000.00,6.02
5200MP,60,7083.67,425020.00,4.70
6700HC,32,13250.00,424000.00,6.81
4400YK,43,9860.47,424000.00,4.67
49008K,52,8123.08,422400.00,5.60
2500AG,50,8440.00,422000.00,6.14
4400VV,54,7787.04,420500.00,4.94
4401NN,48,8758.33,420400.00,4.63
4400HG,38,11052.63,420000.00,5.97
36S0WM,40,10500.00,420000.00,5.95
1800BG,44,9522.73,419000.00,6.93
0900WC,45,9288.89,418000.00,6.24
2400JM,53,7879.25,417600.00,5.81
3901AU,44,9477.27,417000.00,7.55
3400WD,51,8176.47,417000.00,4.92
4400QH,48,8687.50,417000.00,5.63
2201UG,34,12179.41,414100.00,7.50
3400CU,44,9386.36,413000.00,4.68
3901VU,35,11740.00,410900.00,6.59
1500CT,33,12393.94,409000.00,6.73
1000HV,46,8847.83,407000.00,6.02
1701TU,44,9227.27,406000.00,6.43
4713GM,43,9418.60,405000.00,4.60
2300YM,37,10891.89,403000.00,8.11
3600HV,46,8747.83,402400.00,6.26
0301KJ,45,8933.33,402000.00,5.62
36016V,36,11166.67,402000.00,5.69
4530SJ,34,11794.12,401000.00,4.38
0300TN,44,9113.64,401000.00,5.70
1002PP,37,10756.76,398000.00,4.76
1500MU,41,9682.93,397000.00,4.71
1100CR,48,8250.00,396000.00,4.25
3601JK,42,9309.52,391000.00,5.45
2200WA,44,8863.64,390000.00,5.20
2500CR,26,14923.08,388000.00,5.69
0100GU,38,10210.53,388000.00,4.95
3600CC,36,10741.67,386700.00,7.17
0501WU,40,9600.00,384000.00,6.70
4901MJ,43,8927.91,383900.00,6.02
03008J,55,6963.64,383000.00,6.15
1701ST,41,9321.95,382200.00,4.50
4400TC,51,7411.76,378000.00,6.18
3901YB,40,9425.00,377000.00,5.83
1902UB,26,14496.15,376900.00,7.52
0700YC,39,9641.03,376000.00,4.72
3301AA,37,10162.16,376000.00,4.84
4505GM,44,8454.55,372000.00,5.50
1000VH,44,8454.55,372000.00,5.20
36T0XU,43,8630.23,371100.00,7.14
51S0ZB,28,13235.71,370600.00,6.04
39S1MQ,38,9736.84,370000.00,5.39
3500WH,32,11562.50,370000.00,5.06
3900WG,33,11181.82,369000.00,5.00
4200BS,31,11870.97,368000.00,5.80
3400QT,38,9684.21,368000.00,5.74
51008V,43,8558.14,368000.00,5.81
4530BP,35,10514.29,368000.00,4.97
1000KK,37,9918.92,367000.00,6.22
1701CC,42,8738.10,367000.00,7.05
1400UB,34,10794.12,367000.00,6.44
5000QD,30,12166.67,365000.00,8.87
3303NG,39,9358.97,365000.00,5.26
1800RV,37,9864.86,365000.00,6.14
3602PN,35,10400.00,364000.00,5.74
3300AU,29,12534.48,363500.00,4.97
1800KA,41,8853.66,363000.00,5.39
1100ND,39,9307.69,363000.00,5.59
33T2MM,39,9292.31,362400.00,4.21
3303GU,37,9729.73,360000.00,6.35
4200PA,33,10878.79,359000.00,4.73
3101MP,29,12379.31,359000.00,4.21
0600SN,27,13259.26,358000.00,7.41
3302YK,42,8519.05,357800.00,6.07
1501MQ,41,8714.63,357300.00,5.07
3500HU,33,10818.18,357000.00,5.94
0300UG,45,7933.33,357000.00,5.09
0700VV,34,10479.41,356300.00,6.71
23T0HR,37,9621.62,356000.00,4.62
2230SK,34,10461.76,355700.00,5.09
2600HG,33,10727.27,354000.00,7.94
0101WQ,36,9805.56,353000.00,5.00
3100TA,34,10352.94,352000.00,5.30
2700YB,32,11000.00,352000.00,6.38
0100YT,29,12000.00,348000.00,5.97
1102ZA,34,10205.88,347000.00,4.74
36008Q,45,7688.89,346000.00,6.09
4600NH,31,11097.10,344010.00,5.81
0501XV,44,7795.45,343000.00,5.86
3400SG,39,8794.87,343000.00,6.64
4900HA,36,9527.78,343000.00,4.81
23T1YQ,45,7622.22,343000.00,5.56
5300QV,39,8769.23,342000.00,5.67
3300XJ,32,10656.25,341000.00,5.19
1001GA,35,9742.86,341000.00,4.63
2301QA,39,8733.33,340600.00,3.85
0503YN,32,10631.25,340200.00,5.69
2320ZG,29,11724.14,340000.00,5.38
0300SM,36,9444.44,340000.00,5.75
0501VM,30,11320.00,339600.00,6.60
0502XD,35,9685.71,339000.00,5.11
4503GM,39,8692.31,339000.00,6.69
1002NN,42,8071.43,339000.00,5.21
0500AM,40,8425.00,337000.00,6.98
1000YS,27,12444.44,336000.00,5.33
3930UP,34,9867.65,335500.00,6.62
1920CR,29,11565.52,335400.00,4.76
1400PC,35,9542.86,334000.00,5.83
3301AJ,25,13360.00,334000.00,3.88
4504DH,37,8997.30,332900.00,6.35
2302WC,29,11413.79,331000.00,5.45
35006N,39,8461.54,330000.00,5.72
2400KU,28,11750.00,329000.00,6.57
1002BQ,36,9113.89,328100.00,5.64
0700PP,35,9342.86,327000.00,5.46
1002DS,36,9063.89,326300.00,6.33
1001VK,31,10516.13,326000.00,5.35
5001NB,32,10187.50,326000.00,4.41
0507PR,31,10516.13,326000.00,6.74
1601KA,28,11642.86,326000.00,5.71
05006K,41,7919.51,324700.00,5.12
1101GB,26,12461.54,324000.00,7.15
10306R,38,8526.32,324000.00,4.53
1100KR,36,8972.22,323000.00,5.61
6700RG,33,9787.88,323000.00,5.79
50UWMC,35,9200.00,322000.00,6.20
3901MB,37,8659.46,320400.00,5.95
3902PV,28,11428.57,320000.00,5.82
3800PM,25,12760.00,319000.00,4.60
2301TD,36,8861.11,319000.00,6.56
2200ZT,30,10600.00,318000.00,6.43
3601PH,29,10965.52,318000.00,4.59
3901MK,25,12680.00,317000.00,6.92
34S0GK,39,8076.92,315000.00,4.49
3100BN,32,9812.50,314000.00,5.53
23S1DV,37,8459.46,313000.00,4.84
4503KR,37,8443.24,312400.00,5.78
4200MU,34,9176.47,312000.00,6.06
4530RH,33,9454.55,312000.00,5.67
1013HP,28,11142.86,312000.00,5.82
2302KU,29,10724.14,311000.00,4.52
1002ZD,29,10717.24,310800.00,4.25
4400TT,38,8163.16,310200.00,4.47
0500JD,29,10693.10,310100.00,5.52
37028B,33,9393.94,310000.00,4.58
3401ZP,30,10333.33,310000.00,5.13
4240HR,31,10000.00,310000.00,5.06
14T0QP,31,9935.48,308000.00,4.65
0601TR,28,11000.00,308000.00,6.61
36T0SP,31,9935.48,308000.00,5.84
52S0WN,27,11407.41,308000.00,5.37
5100TC,37,8302.70,307200.00,4.14
2601KM,34,9029.41,307000.00,5.97
1413VU,32,9593.75,307000.00,4.78
2900DQ,30,10200.00,306000.00,5.43
5200SN,25,12200.00,305000.00,4.48
2800CK,26,11692.31,304000.00,6.04
1800QU,43,7023.26,302000.00,5.26
23T2TN,28,10750.00,301000.00,5.96
0300GG,33,9090.91,300000.00,4.73
4530DR,29,10344.83,300000.00,4.52
2400AB,29,10344.83,300000.00,6.03
3600RS,32,9343.75,299000.00,6.78
39T0QM,33,9060.61,299000.00,5.73
30NAVQ,30,9966.67,299000.00,6.73
3230SM,26,11461.54,298000.00,8.00
3900HT,34,8764.71,298000.00,5.65
1501GA,35,8514.29,298000.00,4.94
1801SD,38,7834.21,297700.00,5.45
10T0ZM,29,10241.38,297000.00,5.38
33T26G,31,9503.23,294600.00,5.13
5000UB,30,9800.00,294000.00,5.83
4530PD,30,9800.00,294000.00,6.10
3302XJ,36,8166.67,294000.00,6.50
3900XQ,35,8342.86,292000.00,6.86
42T0TD,43,6774.42,291300.00,4.63
05T1PH,32,9093.75,291000.00,5.66
3401NP,31,9357.74,290090.00,4.68
3602AG,37,7837.84,290000.00,5.54
33036V,30,9660.00,289800.00,7.83
3600YD,26,11038.46,287000.00,7.31
21008K,36,7944.44,286000.00,3.78
0401PQ,27,10592.59,286000.00,6.48
36T0BD,33,8666.67,286000.00,5.85
2201HV,30,9533.33,286000.00,4.63
26006U,27,10555.56,285000.00,7.52
34008C,34,8382.35,285000.00,4.50
6700KQ,28,10107.14,283000.00,5.86
05S7AM,37,7648.65,283000.00,5.11
33018J,30,9433.33,283000.00,7.62
33S1CJ,26,10807.69,281000.00,8.19
33T4RJ,26,10807.69,281000.00,8.62
0600UA,31,9033.23,280030.00,3.48
52T0QU,28,10000.00,280000.00,5.96
1700HP,36,7763.89,279500.00,5.25
3013SA,31,9000.00,279000.00,4.52
3630PA,28,9964.29,279000.00,5.61
14T1QJ,30,9300.00,279000.00,6.40
4200UH,25,11120.00,278000.00,7.16
1300PR,26,10656.54,277070.00,5.08
3302AP,35,7914.29,277000.00,5.06
2200BA,34,8088.24,275000.00,7.26
1101HC,33,8333.33,275000.00,5.00
3400SV,26,10423.08,271000.00,6.19
3600PV,29,9344.83,271000.00,5.62
5202MU,32,8431.25,269800.00,3.84
5200NH,26,10348.46,269060.00,4.31
2400HJ,27,9888.89,267000.00,5.74
3400GJ,33,8060.61,266000.00,3.97
0506JH,27,9814.81,265000.00,3.33
0401MN,25,10560.00,264000.00,7.28
2500CJ,27,9733.33,262800.00,4.33
4713DK,29,9041.38,262200.00,6.28
1001XU,33,7939.39,262000.00,3.18
1400MQ,34,7676.47,261000.00,4.71
2301XK,25,10440.00,261000.00,4.68
1002TC,32,8125.00,260000.00,4.09
0101VP,29,8965.52,260000.00,5.10
0503VJ,27,9625.93,259900.00,4.65
1600DG,27,9592.59,259000.00,5.89
1002MM,33,7848.48,259000.00,5.12
2900QD,25,10280.00,257000.00,6.60
1500WK,30,8500.00,255000.00,5.87
34006R,28,9107.14,255000.00,4.57
1730MN,28,9071.43,254000.00,8.86
33T1NH,26,9769.23,254000.00,5.42
4506HR,30,8433.33,253000.00,4.53
3302ZM,27,9370.37,253000.00,5.89
3901CQ,26,9692.31,252000.00,5.85
24GUYC,29,8658.28,251090.00,4.69
1501JD,25,10040.00,251000.00,5.04
4900AK,27,9296.30,251000.00,6.63
1100AG,31,8064.52,250000.00,4.87
4900UA,26,9615.38,250000.00,6.96
3902UG,35,7085.71,248000.00,5.40
3800TR,28,8857.14,248000.00,5.82
0100QB,37,6595.68,244040.00,4.86
0700QQ,31,7870.97,244000.00,6.13
37T1XB,28,8678.57,243000.00,4.46
22006U,33,7354.55,242700.00,5.36
5001TJ,26,9269.23,241000.00,6.15
4505BH,29,8303.45,240800.00,6.48
4530WG,26,9192.31,239000.00,5.73
2600SK,33,7242.42,239000.00,3.06
2000MC,26,9076.92,236000.00,4.23
0500DQ,25,9440.00,236000.00,4.68
4901PT,25,9400.00,235000.00,9.92
2900TJ,33,7090.91,234000.00,2.97
1401HP,29,8000.00,232000.00,3.66
4520XQ,32,7225.00,231200.00,6.25
2600DS,29,7965.52,231000.00,4.17
0400GR,28,8250.00,231000.00,4.14
3302ZT,25,9232.00,230800.00,5.16
4100JN,27,8518.52,230000.00,5.52
1800ZB,30,7666.67,230000.00,3.60
3500YK,28,8214.29,230000.00,4.86
1400YH,28,8214.29,230000.00,5.46
3603KM,28,8178.57,229000.00,6.04
1402CJ,25,9128.00,228200.00,5.16
39T2GA,27,8444.44,228000.00,4.41
4901US,26,8730.77,227000.00,4.35
39S0NV,26,8576.92,223000.00,7.04
3900AD,31,7193.55,223000.00,5.32
0505PT,25,8920.00,223000.00,3.28
4530PT,26,8500.00,221000.00,7.23
06008K,28,7821.43,219000.00,5.82
3901QG,27,8111.11,219000.00,4.48
01S0UR,26,8384.62,218000.00,4.77
1100VG,26,8346.15,217000.00,3.42
2501ZT,28,7750.00,217000.00,5.32
05T4RU,25,8640.00,216000.00,6.60
1900RC,29,7379.31,214000.00,5.14
2601JS,26,8230.77,214000.00,8.88
4901VT,26,8192.31,213000.00,7.15
0130PQ,25,8480.00,212000.00,5.96
0200JG,25,8480.00,212000.00,6.56
0601MJ,27,7814.81,211000.00,5.30
1501BT,26,8115.38,211000.00,6.19
36T0GA,27,7777.78,210000.00,4.48
2301RB,29,7206.90,209000.00,4.59
17S1XA,31,6741.94,209000.00,4.16
0541QT,26,8038.46,209000.00,5.58
4504GJ,31,6741.94,209000.00,4.58
3100UR,26,7923.08,206000.00,4.62
3140YC,31,6645.16,206000.00,7.10
1600NH,25,8160.00,204000.00,4.48
1002PG,27,7555.56,204000.00,4.04
1000NU,26,7792.31,202600.00,6.69
4200AR,33,6093.94,201100.00,6.15
3900MR,25,8040.00,201000.00,8.52
1002KK,29,6913.79,200500.00,4.69
39T0XU,25,7960.00,199000.00,4.88
4508UU,27,7285.19,196700.00,6.22
3700GR,27,7255.56,195900.00,5.56
