diagnosis_code,claim_count,average_claim_payment,total_medicare_payment
42781,324,13840.43,4484300.00
9972,31,13774.19,427000.00
56969,35,13678.29,478740.00
99642,86,13581.40,1168000.00
9971,30,13533.33,406000.00
48241,54,13481.48,728000.00
1625,90,13455.56,1211000.00
42613,34,13382.35,455000.00
V553,33,13363.64,441000.00
4275,29,13044.83,378300.00
99662,158,13032.91,2059200.00
44022,51,13029.41,664500.00
82022,62,12951.61,803000.00
4821,72,12902.78,929000.00
431,176,12880.68,2267000.00
1976,30,12833.33,385000.00
042,41,12829.27,526000.00
44023,73,12821.92,936000.00
19889,33,12818.18,423000.00
1628,26,12807.69,333000.00
03843,34,12800.00,435200.00
1890,69,12785.51,882200.00
1983,87,12724.14,1107000.00
41071,1170,12657.80,14809630.00
72402,278,12571.94,3495000.00
515,85,12564.71,1068000.00
1972,37,12559.46,464700.00
99762,37,12513.51,463000.00
99678,29,12489.66,362200.00
41402,84,12488.10,1049000.00
1541,46,12478.26,574000.00
99832,29,12379.31,359000.00
71515,53,12358.49,655000.00
03842,226,12247.79,2768000.00
5070,705,12233.90,8624900.00
44021,121,12223.97,1479100.00
5856,39,12205.13,476000.00
4321,52,12171.15,632900.00
4271,164,12117.07,1987200.00
99644,36,12083.33,435000.00
V5811,125,12032.00,1504000.00
7211,69,12014.49,829000.00
44020,31,12000.00,372000.00
1970,45,11933.33,537000.00
8208,308,11910.39,3668400.00
5715,68,11876.47,807600.00
82101,46,11869.57,546000.00
7230,35,11857.14,415000.00
48242,55,11836.36,651000.00
4239,31,11832.26,366800.00
82009,258,11764.73,3035300.00
99667,38,11736.84,446000.00
99677,30,11700.00,351000.00
71596,352,11671.59,4108400.00
51181,31,11612.90,360000.00
3453,29,11482.76,333000.00
99859,266,11473.68,3052000.00
4372,36,11444.44,412000.00
71536,1154,11380.43,13133020.00
5691,36,11361.11,409000.00
1977,73,11342.47,828000.00
71516,148,11331.08,1677000.00
82021,503,11304.17,5686000.00
99931,79,11278.48,891000.00
5570,57,11263.16,642000.00
7907,67,11243.28,753300.00
7220,42,11238.10,472000.00
71535,426,11232.39,4785000.00
5712,46,11130.43,512000.00
72271,40,11082.50,443300.00
99811,70,11071.43,775000.00
71595,146,11022.60,1609300.00
99812,56,10971.43,614400.00
7210,62,10967.74,680000.00
8080,29,10965.52,318000.00
82123,33,10909.09,360000.00
99665,29,10896.55,316000.00
80502,26,10884.62,283000.00
73382,29,10862.07,315000.00
5128,41,10780.49,442000.00
73313,199,10768.34,2142900.00
73342,43,10767.44,463000.00
41091,98,10755.10,1054000.00
71531,72,10666.67,768000.00
7224,29,10655.17,309000.00
34982,48,10645.83,511000.00
5533,48,10604.17,509000.00
1888,31,10516.13,326000.00
8052,65,10507.69,683000.00
99681,62,10467.74,649000.00
99601,33,10454.55,345000.00
57400,201,10433.33,2097100.00
1629,107,10392.52,1112000.00
48283,57,10385.96,592000.00
81200,39,10361.03,404080.00
71591,26,10346.15,269000.00
V5331,25,10280.00,257000.00
25040,32,10187.50,326000.00
3320,43,10116.28,435000.00
55010,30,10113.33,303400.00
7140,27,10111.11,273000.00
4270,39,10051.28,392000.00
8244,55,10036.36,552000.00
1579,39,10025.64,391000.00
3315,36,9994.44,359800.00
27801,78,9987.18,779000.00
25062,39,9948.72,388000.00
28800,70,9928.57,695000.00
34839,26,9769.23,254000.00
5119,162,9765.43,1582000.00
5401,26,9692.31,252000.00
53642,25,9680.00,242000.00
1985,77,9636.36,742000.00
57410,124,9629.03,1194000.00
1889,39,9538.46,372000.00
43401,25,9520.00,238000.00
40493,26,9500.00,247000.00
00845,315,9447.62,2976000.00
4168,36,9390.00,338040.00
5307,27,9370.37,253000.00
41519,371,9370.08,3476300.00
56089,79,9329.11,737000.00
9975,27,9296.30,251000.00
2948,125,9261.44,1157680.00
34831,71,9239.44,656000.00
4329,29,9172.41,266000.00
55321,83,9153.98,759780.00
57450,27,9148.15,247000.00
45981,32,9093.75,291000.00
481,48,9070.83,435400.00
72210,187,9042.78,1691000.00
3310,284,9032.75,2565300.00
40491,95,9021.05,857000.00
82020,46,8978.26,413000.00
42823,512,8965.04,4590100.00
5750,62,8882.26,550700.00
43411,173,8877.46,1535800.00
1820,75,8866.67,665000.00
5761,26,8769.23,228000.00
25060,67,8761.19,587000.00
33182,40,8695.00,347800.00
56211,366,8690.16,3180600.00
25012,31,8677.42,269000.00
99664,120,8650.00,1038000.00
55220,27,8592.59,232000.00
29620,70,8490.00,594300.00
5579,107,8416.82,900600.00
34830,57,8368.42,477000.00
9974,57,8352.63,476100.00
45341,207,8343.96,1727200.00
8054,118,8307.63,980300.00
53783,75,8290.67,621800.00
56213,38,8236.84,313000.00
29633,165,8209.70,1354600.00
96509,27,8185.19,221000.00
5845,68,8176.47,556000.00
5770,372,8077.69,3004900.00
42821,188,8059.04,1515100.00
81201,38,8039.47,305500.00
25080,289,8006.92,2314000.00
42843,161,7932.86,1277190.00
29690,59,7925.42,467600.00
45340,74,7918.92,586000.00
4589,99,7901.01,782200.00
5849,1092,7898.26,8624900.00
43311,84,7869.05,661000.00
43491,1068,7864.06,8398820.00
29632,25,7816.00,195400.00
4280,1419,7801.20,11069900.00
42841,35,7800.00,273000.00
42833,344,7790.99,2680100.00
2767,169,7776.92,1314300.00
40291,94,7755.32,729000.00
25082,74,7668.92,567500.00
6822,75,7626.67,572000.00
5722,98,7602.04,745000.00
29654,38,7589.47,288400.00
40390,59,7559.32,446000.00
42830,136,7541.18,1025600.00
2989,121,7523.22,910310.00
53541,42,7500.00,315000.00
185,158,7498.73,1184800.00
8246,39,7487.18,292000.00
4552,56,7464.29,418000.00
39891,57,7456.14,425000.00
42831,179,7455.31,1334500.00
53240,76,7421.05,564000.00
5409,46,7417.39,341200.00
29530,115,7410.43,852200.00
29574,81,7404.94,599800.00
29590,40,7375.00,295000.00
566,26,7346.15,191000.00
8248,37,7324.32,271000.00
29644,46,7321.74,336800.00
29534,108,7301.85,788600.00
42832,30,7266.67,218000.00
42732,168,7261.90,1220000.00
45342,79,7258.23,573400.00
29623,27,7185.19,194000.00
2536,86,7169.77,616600.00
29650,93,7149.46,664900.00
340,31,7145.16,221500.00
42820,59,7135.59,421000.00
25013,49,7102.04,348000.00
5781,137,7092.70,971700.00
5920,66,7071.21,466700.00
6827,77,7064.94,544000.00
29630,73,7053.42,514900.00
4538,25,7040.00,176000.00
43310,424,7023.58,2978000.00
496,47,7017.02,329800.00
5363,26,7000.00,182000.00
43889,34,7000.00,238000.00
486,2453,6971.81,17101860.00
29570,317,6957.60,2205560.00
2760,54,6942.59,374900.00
29653,33,6942.42,229100.00
56212,230,6931.30,1594200.00
27650,25,6920.00,173000.00
57420,72,6890.28,496100.00
485,57,6826.32,389100.00
5789,422,6814.95,2875910.00
28522,31,6774.19,210000.00
5780,44,6772.73,298000.00
4941,26,6769.23,176000.00
29634,74,6750.00,499500.00
85201,30,6733.33,202000.00
42789,291,6723.20,1956450.00
4829,44,6688.64,294300.00
53551,48,6645.83,319000.00
29640,35,6594.57,230810.00
56985,59,6576.27,388000.00
53140,132,6546.21,864100.00
72888,79,6455.70,510000.00
2841,40,6450.00,258000.00
6824,40,6437.50,257500.00
49121,1558,6417.91,9999100.00
9694,41,6414.63,263000.00
5609,335,6386.27,2139400.00
56210,34,6385.29,217100.00
29680,76,6344.74,482200.00
6826,539,6274.16,3381770.00
7812,38,6210.53,236000.00
42731,1253,6210.30,7781500.00
41400,159,6163.08,979930.00
56039,67,6141.79,411500.00
78909,39,6128.21,239000.00
2766,62,6108.06,378700.00
5559,25,6080.00,152000.00
29660,33,6063.64,200100.00
0539,36,6027.78,217000.00
29532,58,5995.52,347740.00
2800,75,5992.00,449400.00
49322,357,5949.86,2124100.00
5601,163,5925.77,965900.00
49122,391,5842.20,2284300.00
78791,60,5815.00,348900.00
2851,61,5803.28,354000.00
25002,95,5781.05,549200.00
78039,138,5738.41,791900.00
78609,40,5732.50,229300.00
1749,62,5669.35,351500.00
6823,82,5654.88,463700.00
5921,109,5637.61,614500.00
59010,63,5619.05,354000.00
29281,31,5612.90,174000.00
34590,151,5524.50,834200.00
7245,26,5500.00,143000.00
5990,1374,5490.07,7543360.00
27542,30,5466.67,164000.00
53081,96,5447.92,523000.00
7242,44,5431.82,239000.00
6183,26,5423.08,141000.00
6820,43,5418.60,233000.00
28521,36,5416.67,195000.00
07999,47,5404.26,254000.00
8082,139,5396.26,750080.00
59080,97,5381.44,522000.00
311,79,5377.22,424800.00
78009,56,5375.00,301000.00
7837,46,5332.61,245300.00
4870,30,5300.00,159000.00
2809,98,5295.92,519000.00
79092,31,5280.65,163700.00
30391,36,5277.78,190000.00
1748,33,5272.73,174000.00
45829,41,5244.88,215040.00
6184,46,5239.13,241000.00
29664,34,5197.06,176700.00
5959,38,5163.16,196200.00
81342,25,5160.00,129000.00
2761,272,5138.97,1397800.00
78060,76,5131.58,390000.00
0090,27,5111.11,138000.00
82300,38,5105.26,194000.00
490,56,5086.43,284840.00
5693,59,5023.73,296400.00
7336,25,4920.00,123000.00
53540,33,4818.18,159000.00
78906,48,4783.33,229600.00
2859,157,4766.24,748300.00
28262,59,4759.32,280800.00
59971,28,4750.00,133000.00
53019,38,4736.84,180000.00
78652,49,4693.88,230000.00
27651,618,4654.69,2876600.00
0088,129,4612.40,595000.00
3383,28,4607.14,129000.00
7806,32,4593.75,147000.00
7802,715,4590.91,3282500.00
61801,33,4575.76,151000.00
78097,169,4512.43,762600.00
78701,70,4511.43,315800.00
49392,117,4490.60,525400.00
53190,32,4359.38,139500.00
4660,168,4353.57,731400.00
23875,31,4322.58,134000.00
53550,51,4319.61,220300.00
78900,64,4265.63,273000.00
2768,59,4264.41,251600.00
4139,42,4214.29,177000.00
7847,37,4200.00,155400.00
7840,36,4194.44,151000.00
60001,151,4178.81,631000.00
6185,44,4115.91,181100.00
5589,272,4110.66,1118100.00
78079,74,4067.57,301000.00
4019,139,4058.27,564100.00
78605,40,4050.00,162000.00
4659,29,4034.48,117000.00
2920,65,3949.23,256700.00
4359,502,3924.10,1969900.00
56400,77,3855.84,296900.00
4580,229,3834.50,878100.00
29181,84,3821.43,321000.00
49390,41,3814.63,156400.00
4111,75,3649.33,273700.00
78901,29,3448.28,100000.00
78659,738,3372.62,2488990.00
4871,38,3368.42,128000.00
4010,57,3350.88,191000.00
78650,354,3350.79,1186180.00
7804,107,3318.60,355090.00
78651,25,3040.00,76000.00
38611,44,2802.27,123300.00
7851,27,2743.70,74080.00
